,XGBoost_SHAP
ENSG00000122877,0.36000395
ENSG00000243729,0.32519066
ENSG00000175356,0.25745645
ENSG00000006607,0.25598666
ENSG00000182782,0.22077233
ENSG00000103254,0.21780178
ENSG00000011677,0.21695067
ENSG00000171864,0.15315998
ENSG00000173947,0.14888985
ENSG00000162645,0.14527677
ENSG00000137731,0.14223363
ENSG00000161526,0.13988844
ENSG00000172236,0.1379068
ENSG00000108773,0.13309862
ENSG00000243646,0.1315251
ENSG00000228887,0.116227575
ENSG00000189306,0.11367914
ENSG00000185905,0.11280979
ENSG00000167748,0.10229758
ENSG00000148803,0.097081155
ENSG00000186416,0.089691035
ENSG00000151651,0.08875373
ENSG00000178750,0.08583185
ENSG00000169442,0.08218484
ENSG00000267270,0.08008273
ENSG00000131042,0.07864543
ENSG00000197943,0.077508844
ENSG00000074266,0.07449654
ENSG00000204815,0.074130885
ENSG00000174080,0.071808174
